Address,opAirdropScore,TokenBalanceGIV,TokenBalanceOP,GRDonations,EthDeposits,OptimismBridges,OpTreasuryPayouts,IsOptimismDelegate,InteractedWithContracts,CreatedGnosisSafe,OwnsGnosisSafe,ExecutedGnosisTx,isPartOfOPTreasury,IsGitcoinProjectOwner,GitcoinPassportScore,RegenPOAPs,OptimismTxCount,TrustedSeedMember,GivethActivity,TotalScore
0xaa31cb426e2c83cda9c850874d166d7fca836b14,false,false,false,0,false,0,0,1,1,false,false,false,false,false,false,false,14,false,false,800
0x2a185c8a3c63d7bfe63ad5d950244ffe9d0a4b60,false,false,380095.30,0,false,0,1,1,1,false,false,false,false,false,false,false,1,false,false,1210
0xc420c9d507d0e038bd76383aaadcad576ed0073c,false,false,false,0,false,0,0,1,false,false,false,false,false,false,false,false,false,false,false,500
0xc420c9d507d0e038bd76383aaadcad576ed0073c,false,false,false,0,false,0,0,1,false,false,false,false,false,false,false,false,false,false,false,500
0xa3ebc4a674ac613f797b45b4bdc1c1ddab13836a,false,false,false,0,false,0,0,1,1,false,false,false,false,false,false,false,2,false,false,800
0xe36e5afd431bbfd23598d2c37b018d2bde5eb5e1,false,false,false,0,false,0,0,1,1,false,false,false,false,false,false,false,1,false,false,800
0x9c8984a1b26ea82ffcc7a4ef058b303a85b7fa25,false,false,false,0,false,0,0,1,1,false,false,false,false,false,false,false,1,false,false,800
0x34b9422884969b3eeba798723429697053271c8a,false,false,false,0,false,0,0,1,1,false,1,1,false,false,false,false,4,false,false,1700
0x352fb838a3ae9b0ef2f0ebf24191acaf4ab9ecec,false,false,15774.72,0,false,0,1,1,1,false,false,false,false,false,false,false,1,false,false,1210
0x6fd2bd90d50edee139103454116f252f6f5ec928,false,false,false,0,false,0,0,1,1,false,false,false,false,false,false,false,2,false,false,800
0x3576aafaffe4c07f894447265b391856377157db,false,false,false,0,false,0,0,1,1,false,false,false,false,false,false,false,1,false,false,800
